ensembl_gene_id gene_symbol entrezgene_id
ENSRNOG00000011015 Hivep2 29721
ENSRNOG00000000485 Bak1 116502
ENSRNOG00000025806 Prr3 361788
ENSRNOG00000000782 Trim10 294210
ENSRNOG00000014616 Iars1 306804
ENSRNOG00000014833 Smndc1 287768
ENSRNOG00000012184 Urgcp 305493
ENSRNOG00000017847 Rps19bp1 500907
ENSRNOG00000011400 Ralyl 294883
ENSRNOG00000002572 Cacybp 289144
ENSRNOG00000039980 Slc25a5 25176
ENSRNOG00000050004 LOC100912306 100909761
ENSRNOG00000050004 LOC100909761 100909761
ENSRNOG00000050004 Myot 100909761
ENSRNOG00000050004 LOC100912306 100912306
ENSRNOG00000050004 LOC100909761 100912306
ENSRNOG00000050004 Myot 100912306
ENSRNOG00000000486 Ggnbp1 494520
ENSRNOG00000009735 Fibcd1 103690010
ENSRNOG00000009735 Fibcd1l1 103690010
ENSRNOG00000014160 Tcp1 24818
ENSRNOG00000006096 Slc26a7 297910
ENSRNOG00000012564 RGD1564541 313433
ENSRNOG00000013975 Acat2l1 365096
ENSRNOG00000049911 LOC102556347 102556347
ENSRNOG00000006498 Lrrc69 500415
ENSRNOG00000049693 LOC108348130 29224
ENSRNOG00000049693 Cbr1 29224
ENSRNOG00000047848 LOC108348130 100360507
ENSRNOG00000047848 Cbr1 100360507
ENSRNOG00000047339 Pja1 683077
ENSRNOG00000017164 Afap1l2 292130
ENSRNOG00000062002 Kcna3 29731
ENSRNOG00000000729 Tmlhe 170898
ENSRNOG00000031689 Trim15 100910806
ENSRNOG00000019634 Eif4e2 363275
ENSRNOG00000032930 Trim26 309586
ENSRNOG00000039985 Ube2a 298317
ENSRNOG00000013285 Imp4 316317
ENSRNOG00000006523 Atl2 298757
ENSRNOG00000001007 Baiap2l1 304282
ENSRNOG00000060407 Cacna1i 56827
ENSRNOG00000056248 Marf1 170946
ENSRNOG00000056148 Nudcd3 100125378
ENSRNOG00000002556 Tsr2 108348124
ENSRNOG00000002556 NEWGENE_1562416 108348124
ENSRNOG00000002556 Tsr2 317418
ENSRNOG00000002556 NEWGENE_1562416 317418
ENSRNOG00000010352 Dnajc3 63880
ENSRNOG00000046473 NEWGENE_735020 108348071
ENSRNOG00000046473 Qrfp 108348071
ENSRNOG00000046473 NEWGENE_735020 379044
ENSRNOG00000046473 Qrfp 379044
ENSRNOG00000051078 Zfp37 115768
ENSRNOG00000052795 Itpr3 25679
ENSRNOG00000057367 Glud1 24399
ENSRNOG00000020371 Pgap2 116675
ENSRNOG00000009513 Akr1b1 24192
ENSRNOG00000019473 NEWGENE_1582994 103694000
ENSRNOG00000019473 Dcun1d2 103694000
ENSRNOG00000019473 NEWGENE_1582994 688913
ENSRNOG00000019473 Dcun1d2 688913
ENSRNOG00000013234 Ccdc115 363213
ENSRNOG00000027864 Ppial4d 25518
ENSRNOG00000027864 Ppia 25518
ENSRNOG00000018285 Kcna2 25468
ENSRNOG00000011540 Vta1 292640
ENSRNOG00000047356 LOC100909750 100909750
ENSRNOG00000047356 Abl1 100909750
ENSRNOG00000047356 LOC100909750 311860
ENSRNOG00000047356 Abl1 311860
ENSRNOG00000038066 Fam155b 688841
ENSRNOG00000020393 Rhog 308875
ENSRNOG00000061989 Nkrf 100910054
ENSRNOG00000004861 Itga4 311144
ENSRNOG00000009955 Plch1 310463
ENSRNOG00000050090 Slc6a17 613226
ENSRNOG00000002755 Pafah1b1 83572
ENSRNOG00000046298  501125
ENSRNOG00000016254 Sema4c 301346
ENSRNOG00000062142  287522
ENSRNOG00000061444 Olr1714 294175
ENSRNOG00000055025 Fam25a 684972
ENSRNOG00000025344 Enthd1 685900
ENSRNOG00000000799 Abcf1 85493
ENSRNOG00000045569 Nol8 108348063
ENSRNOG00000045569 NEWGENE_1309551 108348063
ENSRNOG00000045569 Nol8 361221
ENSRNOG00000045569 NEWGENE_1309551 361221
ENSRNOG00000015596 Efhd1 501181
ENSRNOG00000043182 Septin6 691335
ENSRNOG00000062013 Adprhl1 290880
ENSRNOG00000061995 Grtp1 361180
ENSRNOG00000049380  100360601
ENSRNOG00000047298 Olr1868 408030
ENSRNOG00000001701 Cbr3 304078
ENSRNOG00000032991 Rufy4 301510
ENSRNOG00000002736 Rabgap1l 304914
ENSRNOG00000049590 RT1-M2 24988
ENSRNOG00000002537 Wnk3 317420
ENSRNOG00000032576 Nlgn1 116647
ENSRNOG00000025909 Uqcc2 361805
ENSRNOG00000014582 Mrpl18 292244
ENSRNOG00000017225 Fam160b1 361774
ENSRNOG00000032208 Eda 302424
ENSRNOG00000002912 Parn 360464
ENSRNOG00000002079 Mapk10 25272
ENSRNOG00000025883 Ip6k3 688862
ENSRNOG00000018290 Alx3 365900
ENSRNOG00000005214 Plek 364206
ENSRNOG00000038807 Clpsl2 689425
ENSRNOG00000049392 Sowahd 367699
ENSRNOG00000005326 Cnrip1 364208
ENSRNOG00000009245 Exosc2 366017
ENSRNOG00000000510 Clps 25680
ENSRNOG00000020425 Stim1 361618
ENSRNOG00000030222 Tcaf2 100912416
ENSRNOG00000043348 LOC103694404 103690821
ENSRNOG00000043348 LOC103692785 103690821
ENSRNOG00000043348 LOC103694169 103690821
ENSRNOG00000043348 LOC103693375 103690821
ENSRNOG00000043348 LOC103690821 103690821
ENSRNOG00000043348 LOC103692831 103690821
ENSRNOG00000043348 Rpl39 103690821
ENSRNOG00000043348 LOC103694404 103692785
ENSRNOG00000043348 LOC103692785 103692785
ENSRNOG00000043348 LOC103694169 103692785
ENSRNOG00000043348 LOC103693375 103692785
ENSRNOG00000043348 LOC103690821 103692785
ENSRNOG00000043348 LOC103692831 103692785
ENSRNOG00000043348 Rpl39 103692785
ENSRNOG00000043348 LOC103694404 103692831
ENSRNOG00000043348 LOC103692785 103692831
ENSRNOG00000043348 LOC103694169 103692831
ENSRNOG00000043348 LOC103693375 103692831
ENSRNOG00000043348 LOC103690821 103692831
ENSRNOG00000043348 LOC103692831 103692831
ENSRNOG00000043348 Rpl39 103692831
ENSRNOG00000043348 LOC103694404 103693375
ENSRNOG00000043348 LOC103692785 103693375
ENSRNOG00000043348 LOC103694169 103693375
ENSRNOG00000043348 LOC103693375 103693375
ENSRNOG00000043348 LOC103690821 103693375
ENSRNOG00000043348 LOC103692831 103693375
ENSRNOG00000043348 Rpl39 103693375
ENSRNOG00000043348 LOC103694404 103694169
ENSRNOG00000043348 LOC103692785 103694169
ENSRNOG00000043348 LOC103694169 103694169
ENSRNOG00000043348 LOC103693375 103694169
ENSRNOG00000043348 LOC103690821 103694169
ENSRNOG00000043348 LOC103692831 103694169
ENSRNOG00000043348 Rpl39 103694169
ENSRNOG00000043348 LOC103694404 103694404
ENSRNOG00000043348 LOC103692785 103694404
ENSRNOG00000043348 LOC103694169 103694404
ENSRNOG00000043348 LOC103693375 103694404
ENSRNOG00000043348 LOC103690821 103694404
ENSRNOG00000043348 LOC103692831 103694404
ENSRNOG00000043348 Rpl39 103694404
ENSRNOG00000043348 LOC103694404 25347
ENSRNOG00000043348 LOC103692785 25347
ENSRNOG00000043348 LOC103694169 25347
ENSRNOG00000043348 LOC103693375 25347
ENSRNOG00000043348 LOC103690821 25347
ENSRNOG00000043348 LOC103692831 25347
ENSRNOG00000043348 Rpl39 25347
ENSRNOG00000048795 Top2b 361100
ENSRNOG00000015796 Msh2 81709
ENSRNOG00000022283 Lhfpl5 294303
ENSRNOG00000002905 Ccdc103 498006
ENSRNOG00000030212 Cerkl 502640
ENSRNOG00000000511 Srpk1 361811
ENSRNOG00000016057 Kcnj13 94341
ENSRNOG00000017105 Dpyd 81656
ENSRNOG00000023577 Gigyf2 100362458
ENSRNOG00000059166 Ldb3 498587
ENSRNOG00000039994 Upf3b 313449
ENSRNOG00000013631 Slc31a2 298091
ENSRNOG00000024128 Aco2 79250
ENSRNOG00000023941 Fam178b 501125
ENSRNOG00000021780 Rad51d 303375
ENSRNOG00000014269 Cxcr2 29385
ENSRNOG00000000512 Slc26a8 309646
ENSRNOG00000054154 Olr1718 405205
ENSRNOG00000002918 FAM187A 287741
ENSRNOG00000010702 Ube3c 362294
ENSRNOG00000059268 Ppp1r10 65045
ENSRNOG00000053813 Nkap 298342
ENSRNOG00000042687 Otud6a 302426
ENSRNOG00000003030 Awat2 302425
ENSRNOG00000005609 Neurod1 29458
ENSRNOG00000050431 Aspn 103690027
ENSRNOG00000050431 Aspnl1 103690027
ENSRNOG00000006899 Akap14 60332
ENSRNOG00000062220 Cenpp 679342
ENSRNOG00000001009 Bri3 304284
ENSRNOG00000002919 Gfap 24387
ENSRNOG00000047786 Ogn 108348095
ENSRNOG00000047786 NEWGENE_1308171 108348095
ENSRNOG00000047786 Ogn 291015
ENSRNOG00000047786 NEWGENE_1308171 291015
ENSRNOG00000052226 Ndufa1 108348144
ENSRNOG00000052226 LOC108348144 108348144
ENSRNOG00000039560 LOC103690116 103690116
ENSRNOG00000039560 Omd 103690116
ENSRNOG00000039560 LOC103690116 83717
ENSRNOG00000039560 Omd 83717
ENSRNOG00000037886 Hs6st3 364476
ENSRNOG00000049908  100359832
ENSRNOG00000031716 Ecm2 100361383
ENSRNOG00000031716 LOC100910978 100361383
ENSRNOG00000048239 Cxcr1 54258
ENSRNOG00000038965  100362724
ENSRNOG00000062231  317423
ENSRNOG00000062232 Mcc 307449
ENSRNOG00000005486 Phf20l1 314964
ENSRNOG00000000513 Mapk14 81649
ENSRNOG00000002764 Mettl16 360568
ENSRNOG00000015667 Epcam 171577
ENSRNOG00000051204 Dop1b 304077
ENSRNOG00000009508 LOC103689977 103689977
ENSRNOG00000009508 Casp6 103689977
ENSRNOG00000009508 LOC103689977 83584
ENSRNOG00000009508 Casp6 83584
ENSRNOG00000024521 Spata16 294932
ENSRNOG00000019635 Cops8 363283
ENSRNOG00000059412 Rnf113a1 103694508
ENSRNOG00000059412 LOC108348079 103694508
ENSRNOG00000059412 Rnf113a1 108348079
ENSRNOG00000059412 LOC108348079 108348079
ENSRNOG00000009433 Mcub 295462
ENSRNOG00000014937 Lrrc71 310689
ENSRNOG00000053949 Olr1722 406016
ENSRNOG00000054164 RGD1560927 103694509
ENSRNOG00000054164 LOC108348152 103694509
ENSRNOG00000054164 RGD1560927 108348152
ENSRNOG00000054164 LOC108348152 108348152
ENSRNOG00000054164 RGD1560927 501507
ENSRNOG00000054164 LOC108348152 501507
ENSRNOG00000016660 Cox5b 94194
ENSRNOG00000047821 Smlr1 686032
ENSRNOG00000053091 Olr1726 405204
ENSRNOG00000058333 LOC103689929 313451
ENSRNOG00000058333 Rhox4g 313451
ENSRNOG00000006636 Otud6b 297911
ENSRNOG00000009218 Prdm12 688699
ENSRNOG00000023140 Pnldc1 361478
ENSRNOG00000045752 Rrm1 685579
ENSRNOG00000002338 Dgke 497978
ENSRNOG00000053351 Rhox3 100190895
ENSRNOG00000001111 Brca2 360254
ENSRNOG00000000515 Mapk13 29513
ENSRNOG00000000465 Slc39a7 294281
ENSRNOG00000051199 Fsip2 680315
ENSRNOG00000050438 Olr1724 294183
ENSRNOG00000002750 Rc3h1 680586
ENSRNOG00000002894 Mnt 287521
ENSRNOG00000008264 Fndc8 303376
ENSRNOG00000008287 Nle1 303372
ENSRNOG00000003151 Bfar 304709
ENSRNOG00000031534 Rhox8 503423
ENSRNOG00000026267 Igbp1 58845
ENSRNOG00000051077 Brms1l 299053
ENSRNOG00000040013 Rhox2 363439
ENSRNOG00000040013 Rhox2 298353
ENSRNOG00000025164 Bhlha15 25334
ENSRNOG00000016789 Actr1b 316333
ENSRNOG00000001010 Tecpr1 304285
